name,lat,lon
 ,37.8606620,-122.5349210
 ,37.8616270,-122.5341150
 ,37.8621600,-122.5330630
 ,37.8628100,-122.5322140
 ,37.8640940,-122.5311580
 ,37.8643980,-122.5307370
 ,37.8648560,-122.5295670
 ,37.8650080,-122.5282350
 ,37.8646230,-122.5270290
 ,37.8637290,-122.5262880
 ,37.8629310,-122.5256910
 ,37.8621980,-122.5247860
 ,37.8616250,-122.5237520
 ,37.8611320,-122.5224060
 ,37.8604830,-122.5213590
 ,37.8592800,-122.5211750
 ,37.8582040,-122.5211940
 ,37.8574140,-122.5199980
 ,37.8570450,-122.5188100
 ,37.8568900,-122.5171010
 ,37.8549000,-122.5113320
 ,37.8552990,-122.5060580
 ,37.8542570,-122.5037900
 ,37.8516890,-122.5041640
 ,37.8481830,-122.5060970
 ,37.8446210,-122.5082310
 ,37.8419930,-122.5120940
 ,37.8382520,-122.5161540
 ,37.8352300,-122.5183960
 ,37.8367210,-122.5182830
 ,37.8375090,-122.5189540
 ,37.8382370,-122.5192410
 ,37.8388820,-122.5184010
 ,37.8400270,-122.5182050
 ,37.8406730,-122.5189550
 ,37.8416340,-122.5194180
 ,37.8417750,-122.5203650
 ,37.8420670,-122.5212590
 ,37.8420780,-122.5220650
 ,37.8426480,-122.5226750
 ,37.8431480,-122.5235600
 ,37.8438090,-122.5241730
 ,37.8446800,-122.5246300
 ,37.8449460,-122.5255600
 ,37.8457230,-122.5261830
 ,37.8465680,-122.5256840
 ,37.8473360,-122.5253960
 ,37.8501530,-122.5263990
 ,37.8515730,-122.5290220
 ,37.8532210,-122.5323400
 ,37.8562840,-122.5343800
 ,37.8589310,-122.5331550
 ,37.8594990,-122.5339460
